id,club_id,player_id
1,31,148455
2,12,148455
3,631,148455
4,430,148455
5,26,148455
6,3369,148455
8,281,445939
9,24,445939
10,82,445939
11,79,445939
12,35,445939
14,18234,445939
16,631,571743
17,29,571743
18,931,571743
20,180,571743
21,499,571743
25,12,371371
26,714,371371
27,6574,371371
28,276,371371
32,2441,222209
33,1148,222209
34,398,222209
35,380,222209
40,398,200056
41,6195,200056
42,749,200056
46,800,165513
47,4171,165513
48,2331,165513
49,260,165513
54,46,543771
55,749,543771
59,18487,171424
60,281,171424
61,1003,171424
62,738,171424
64,23375,171424
65,73865,171424
66,8023,395693
67,12,395693
68,1041,395693
72,244,418659
73,273,418659
74,417,418659
75,1041,418659
79,5,351816
80,244,351816
81,749,351816
83,3161,351816
84,11300,351816
86,543,578391
87,1420,578391
90,6297,60517
91,3229,60517
92,720,60517
93,16795,60517
94,273,60517
95,3524,60517
99,656,416108
100,3840,416108
101,417,416108
102,601,416108
103,30929,416108
105,45715,416108
106,13365,174915
107,968,174915
108,354,174915
109,776,174915
110,58,174915
111,3911,174915
112,336,174915
113,1041,174915
114,1003,174915
115,162,174915
116,36,174915
117,762,174915
118,30543,174915
120,7775,126656
121,1420,126656
122,6195,126656
123,618,126656
126,1041,290532
127,34911,290532
128,379,290532
129,1148,290532
130,417,290532
131,1175,290532
132,3558,290532
133,1420,290532
135,26197,290532
136,82,746910
137,3948,746910
138,2790,746910
139,18272,746910
141,16,284732
142,18,284732
143,273,284732
144,30929,284732
145,969,284732
146,204,284732
148,1082,245537
149,1420,245537
151,33,245537
152,762,245537
153,148,245537
159,1082,80293
160,1050,80293
161,150,80293
162,1421,80293
166,6646,57162
167,141,57162
168,379,57162
169,1049,57162
170,3302,57162
171,1290,57162
173,24,855015
174,415,855015
178,8850,122797
179,969,122797
181,10920,122797
182,995,122797
183,417,122797
184,415,122797
185,7055,122797
186,1162,122797
187,1071,122797
188,3161,122797
189,1147,122797
190,347,122797
191,1160,122797
194,32113,111039
196,63993,111039
197,6297,111039
198,44,111039
199,533,111039
200,3057,111039
201,86,111039
202,4785,111039
203,130,111039
204,46,111039
205,1210,111039
206,1041,111039
207,1025,111039
212,703,498237
213,683,498237
214,720,498237
215,1075,498237
219,58777,498237
220,80993,498237
223,106177,498237
225,93753,173900
226,1465,173900
228,399,173900
229,8023,173900
230,1049,173900
231,543,173900
232,294,173900
233,162,173900
235,897,173900
240,69261,28003
241,583,28003
242,131,28003
248,92364,28003
249,46,406625
250,1444,406625
252,13437,406625
253,12,206050
254,506,206050
255,458,206050
256,1829,206050
258,141,68863
259,583,68863
260,46,68863
261,1038,68863
266,20946,68863
267,13,576024
268,281,576024
269,209,576024
272,29751,576024
273,631,648195
274,294,648195
275,209,648195
277,2402,648195
279,31,534033
280,1237,534033
281,189,534033
282,1030,534033
286,131,26399
287,281,26399
288,13,26399
289,1234,26399
293,69261,39153
294,506,39153
295,631,39153
296,5,39153
297,6195,39153
298,418,39153
299,209,39153
302,148,355915
303,800,355915
304,506,355915
305,252,355915
306,2417,355915
309,294,45320
310,506,45320
311,583,45320
312,985,45320
313,418,45320
314,1418,45320
316,150,348795
317,148,348795
318,1050,348795
319,583,348795
320,1418,348795
322,985,480762
323,610,480762
324,2402,480762
327,2407,189441
328,368,189441
329,610,189441
330,244,189441
331,5,189441
332,252,189441
333,162,189441
334,209,189441
337,985,811779
341,13,424042
342,410,424042
344,1418,424042
345,2402,424042
347,13,266807
348,1775,266807
350,15,401578
351,209,401578
356,189,4276
357,3183,4276
358,506,4276
359,281,4276
360,379,4276
361,985,4276
362,199,4276
365,12,166237
366,583,166237
367,506,166237
368,964,166237
369,749,166237
370,189,166237
371,862,166237
374,506,486031
375,430,486031
376,79,486031
377,1030,486031
379,13,255901
380,410,255901
381,1049,255901
382,1444,255901
384,46,227081
385,244,227081
386,398,227081
387,368,227081
388,1038,227081
389,288,227081
391,405,111873
392,11,111873
393,1032,111873
394,3709,111873
395,543,111873
396,1194,111873
397,1035,111873
399,988,111873
401,1041,131225
402,610,131225
403,1234,131225
404,830,131225
405,171,131225
407,405,321247
408,15,321247
409,1123,321247
410,3709,321247
411,4542,321247
416,17829,321247
417,294,54781
418,281,54781
419,1049,54781
420,720,54781
421,330,54781
422,1029,54781
426,683,7520
427,1003,7520
428,46,7520
429,418,7520
431,209,7520
432,1234,7520
