3396,Roy Keane,25000000,https://img.a.transfermarkt.technology/portrait/medium/3396-1570441538.jpg?lm=1,72
3397,Paul Scholes,25000000,https://img.a.transfermarkt.technology/portrait/medium/3397-1595498527.jpg?lm=1,189
3406,Ryan Giggs,25000000,https://img.a.transfermarkt.technology/portrait/medium/3406-1589198838.jpg?lm=1,191
3407,Ruud van Nistelrooy,40000000,https://img.a.transfermarkt.technology/portrait/medium/3407-1730121299.jpg?lm=1,122
3408,Diego Forlán,30000000,https://img.a.transfermarkt.technology/portrait/medium/3408-1456484557.jpg?lm=1,179
3410,Hernán Crespo,16000000,https://img.a.transfermarkt.technology/portrait/medium/3410-1719458041.jpg?lm=1,9
3411,Pablo Aimar,25000000,https://img.a.transfermarkt.technology/portrait/medium/3411-1719510833.jpg?lm=1,9
3428,Dejan Stanković,24500000,https://img.a.transfermarkt.technology/portrait/medium/3428-1461242093.jpg?lm=1,215
3446,Luís Figo,22000000,https://img.a.transfermarkt.technology/portrait/medium/3446-1570440028.jpg?lm=1,136
3455,Zlatan Ibrahimović,46000000,https://img.a.transfermarkt.technology/portrait/medium/3455-1579506060.jpg?lm=1,147
3461,Jermaine Jenas,15000000,https://img.a.transfermarkt.technology/portrait/medium/3461-1598621230.jpg?lm=1,189
3467,Shaun Wright-Phillips,31500000,https://img.a.transfermarkt.technology/portrait/medium/3467-1464131724.jpg?lm=1,189
3515,Mark van Bommel,15000000,https://img.a.transfermarkt.technology/portrait/medium/3515-1461328878.jpg?lm=1,122
3522,Andriy Shevchenko,51000000,https://img.a.transfermarkt.technology/portrait/medium/3522-1570438190.jpg?lm=1,177
3547,Darren Fletcher,22000000,https://img.a.transfermarkt.technology/portrait/medium/3547-1470302082.jpg?lm=1,190
3597,Jamie Carragher,19000000,https://img.a.transfermarkt.technology/portrait/medium/3597-1719155810.jpg?lm=1,189
3603,Pavel Nedved,28000000,https://img.a.transfermarkt.technology/portrait/medium/3603-1570438744.jpg?lm=1,172
3626,Nuno Gomes,15000000,https://img.a.transfermarkt.technology/portrait/medium/3626-1720496035.jpg?lm=1,136
3700,Frédéric Kanouté,22000000,https://img.a.transfermarkt.technology/portrait/medium/3700-1678198342.jpg?lm=1,105
3785,Scott Parker,18000000,https://img.a.transfermarkt.technology/portrait/medium/3785-1473149636.jpg?lm=1,189
3854,Juan Román Riquelme,18000000,https://img.a.transfermarkt.technology/portrait/medium/3854-1719458349.jpg?lm=1,9
3875,Jermain Defoe,18000000,https://img.a.transfermarkt.technology/portrait/medium/3875-1483634406.jpg?lm=1,189
3876,Joe Cole,21000000,https://img.a.transfermarkt.technology/portrait/medium/3876-1719154696.jpg?lm=1,189
3878,Michael Carrick,26500000,https://img.a.transfermarkt.technology/portrait/medium/3878-1666625002.jpg?lm=1,189
3881,Glen Johnson,17000000,https://img.a.transfermarkt.technology/portrait/medium/3881-1475583851.jpg?lm=1,189
3924,Didier Drogba,40000000,https://img.a.transfermarkt.technology/portrait/medium/3924-1683633427.jpg?lm=1,38
3954,Aldo Duscher,15000000,https://img.a.transfermarkt.technology/portrait/medium/3954-1712245964.jpg?lm=1,9
3966,Djibril Cissé,20000000,https://img.a.transfermarkt.technology/portrait/medium/3966-1497545601.jpg?lm=1,50
3979,Iker Casillas,35000000,https://img.a.transfermarkt.technology/portrait/medium/3979-1684226777.jpeg?lm=1,157
3994,Roy Makaay,25000000,https://img.a.transfermarkt.technology/portrait/medium/3994-1461327946.jpg?lm=1,122
4010,Dirk Kuyt,20000000,https://img.a.transfermarkt.technology/portrait/medium/4010-1719542679.jpg?lm=1,122
4063,Stewart Downing,16000000,https://img.a.transfermarkt.technology/portrait/medium/4063-1719156645.jpg?lm=1,189
4146,David Trezeguet,30000000,https://img.a.transfermarkt.technology/portrait/medium/4146-1491231443.jpg?lm=1,50
4169,Jon Dahl Tomasson,15000000,https://img.a.transfermarkt.technology/portrait/medium/4169-1590395326.jpg?lm=1,39
4170,Marco Di Vaio,15000000,https://img.a.transfermarkt.technology/portrait/medium/4170-1455621250.jpg?lm=1,75
4171,Alessandro Nesta,35000000,https://img.a.transfermarkt.technology/portrait/medium/4171-1455621203.jpg?lm=1,75
4182,Claude Makélélé,18000000,https://img.a.transfermarkt.technology/portrait/medium/4182-1542019034.jpg?lm=1,50
4188,Ricardo Quaresma,25000000,https://img.a.transfermarkt.technology/portrait/medium/4188-1730293194.jpg?lm=1,136
4191,Rubén Baraja,15000000,https://img.a.transfermarkt.technology/portrait/medium/4191-1416989896.jpg?lm=1,157
4192,Rafael van der Vaart,26000000,https://img.a.transfermarkt.technology/portrait/medium/4192-1406743555.jpg?lm=1,122
4248,Diego,29000000,https://img.a.transfermarkt.technology/portrait/medium/4248-1701786244.jpg?lm=1,26
4257,Samuel Eto'o,42000000,https://img.a.transfermarkt.technology/portrait/medium/4257-1683640611.jpg?lm=1,31
4276,Carlos Tevez,40000000,https://img.a.transfermarkt.technology/portrait/medium/4276-1719495009.jpg?lm=1,9
4289,Alessandro Del Piero,22000000,https://img.a.transfermarkt.technology/portrait/medium/4289-1683631011.jpg?lm=1,75
4314,Cristian Chivu,24000000,https://img.a.transfermarkt.technology/portrait/medium/4314-1588661612.jpg?lm=1,140
4357,Klaas-Jan Huntelaar,20000000,https://img.a.transfermarkt.technology/portrait/medium/4357-1684166367.jpg?lm=1,122
4358,Mateja Kežman,23000000,https://img.a.transfermarkt.technology/portrait/medium/4358-1541761826.jpg?lm=1,215
4360,Arjen Robben,40000000,https://img.a.transfermarkt.technology/portrait/medium/4360-1719545379.jpg?lm=1,122
4380,Robin van Persie,47500000,https://img.a.transfermarkt.technology/portrait/medium/4380-1719804523.jpg?lm=1,122
4672,Nigel de Jong,21000000,https://img.a.transfermarkt.technology/portrait/medium/4672-1448982742.jpg?lm=1,122
4673,Wesley Sneijder,45000000,https://img.a.transfermarkt.technology/portrait/medium/4673-1684166804.jpg?lm=1,122
4740,Daniel Van Buyten,15000000,https://img.a.transfermarkt.technology/portrait/medium/4740-1597936325.jpg?lm=1,19
5023,Gianluigi Buffon,35000000,https://img.a.transfermarkt.technology/portrait/medium/5023-1713425275.jpg?lm=1,75
5283,Éric Abidal,20000000,https://img.a.transfermarkt.technology/portrait/medium/5283-1528384866.jpg?lm=1,50
5285,Patrice Evra,27000000,https://img.a.transfermarkt.technology/portrait/medium/5285-1416219199.jpg?lm=1,50
5293,Sébastien Squillaci,18000000,https://img.a.transfermarkt.technology/portrait/medium/5293-1722267011.jpg?lm=1,50
5299,Ludovic Giuly,15000000,https://img.a.transfermarkt.technology/portrait/medium/5299-1476891209.jpg?lm=1,50
5300,Jérôme Rothen,15000000,https://img.a.transfermarkt.technology/portrait/medium/5300-1542108193.jpg?lm=1,50
5352,Mahamadou Diarra,28000000,https://img.a.transfermarkt.technology/portrait/medium/5352-1722415918.jpg?lm=1,105
5354,Juninho Pernambucano,18000000,https://img.a.transfermarkt.technology/portrait/medium/5354-1683633269.jpg?lm=1,26
5404,Jérémy Mathieu,15000000,https://img.a.transfermarkt.technology/portrait/medium/5404-1548509438.jpg?lm=1,50
5422,Philippe Mexès,20000000,https://img.a.transfermarkt.technology/portrait/medium/5422-1448982185.jpg?lm=1,50
5461,Florent Malouda,20000000,https://img.a.transfermarkt.technology/portrait/medium/5461-1555058568.jpg?lm=1,50
5486,Seydou Keita,16000000,https://img.a.transfermarkt.technology/portrait/medium/5486-1448466474.jpg?lm=1,105
5513,Jérémy Toulalan,22000000,https://img.a.transfermarkt.technology/portrait/medium/5513-1516292184.jpg?lm=1,50
